,Team,Result,SRS,DRtg,MOV,ORtg,Age,DeFG%,SOS,OFT/FGA,ORB%,TOV,OeFG%
0,Atlanta Hawks,,-6.06,113.9,-6.02,108.1,25.1,0.541,-0.04,0.192,24.7,17.0,0.522
1,Boston Celtics*,,3.9,107.8,4.44,112.2,25.7,0.514,-0.54,0.17300000000000001,21.6,12.8,0.534
2,Brooklyn Nets*,,-0.4,109.7,-0.04,109.7,25.4,0.512,-0.33,0.21100000000000002,23.8,15.1,0.52
3,Charlotte Hornets,,-1.32,112.5,-1.1,111.4,26.6,0.5379999999999999,-0.22,0.205,21.7,12.2,0.514
4,Chicago Bulls,,-8.32,113.2,-8.41,104.8,24.0,0.541,0.1,0.184,19.4,14.1,0.505
5,Cleveland Cavaliers,,-9.39,117.6,-9.61,107.7,25.2,0.564,0.22,0.187,23.7,13.5,0.503
6,Dallas Mavericks,,-0.87,110.7,-1.28,109.4,26.9,0.522,0.42,0.21600000000000003,22.7,14.2,0.519
7,Denver Nuggets*,,4.19,108.9,3.95,113.0,24.9,0.521,0.24,0.175,26.6,13.4,0.527
8,Detroit Pistons*,,-0.56,109.2,-0.24,109.0,26.9,0.526,-0.31,0.195,24.8,13.8,0.509
9,Golden State Warriors*,,6.42,109.5,6.46,115.9,28.4,0.508,-0.04,0.182,22.5,14.3,0.565
10,Houston Rockets*,,4.96,110.7,4.77,115.5,29.2,0.525,0.19,0.221,22.8,13.3,0.542
11,Indiana Pacers*,,2.76,106.5,3.33,109.9,27.0,0.516,-0.57,0.182,21.9,13.7,0.53
12,Los Angeles Clippers*,,1.09,111.5,0.85,112.4,27.2,0.514,0.23,0.258,22.0,14.5,0.529
13,Los Angeles Lakers,,-1.33,109.5,-1.72,107.8,26.2,0.516,0.39,0.18,22.2,15.7,0.527
14,Memphis Grizzlies,,-2.08,108.8,-2.6,106.1,27.7,0.521,0.51,0.21,20.0,14.0,0.508
15,Miami Heat,,-0.45,107.6,-0.27,107.3,27.0,0.51,-0.22,0.172,24.8,14.7,0.515
16,Milwaukee Bucks*,,8.04,105.2,8.87,113.8,26.9,0.503,-0.82,0.19699999999999998,20.8,13.9,0.55
17,Minnesota Timberwolves,,-1.02,112.9,-1.5,111.4,26.2,0.5379999999999999,0.48,0.21,24.6,13.1,0.511
18,New Orleans Pelicans,,-1.1,112.6,-1.33,111.4,25.7,0.532,0.23,0.193,24.1,14.8,0.529
19,New York Knicks,,-8.93,113.7,-9.21,104.5,23.4,0.5329999999999999,0.28,0.205,22.1,14.0,0.49
20,Oklahoma City Thunder*,,3.56,107.0,3.4,110.3,25.7,0.523,0.15,0.19,26.0,14.0,0.514
21,Orlando Magic*,,0.28,108.1,0.71,108.9,25.7,0.515,-0.43,0.168,22.0,13.2,0.518
22,Philadelphia 76ers*,,2.25,110.0,2.7,112.6,26.4,0.512,-0.44,0.24100000000000002,24.5,14.9,0.532
23,Phoenix Suns,,-8.61,115.1,-9.34,105.9,24.0,0.545,0.73,0.20199999999999999,20.5,15.6,0.514
24,Portland Trail Blazers*,,4.43,110.5,4.2,114.7,26.2,0.516,0.24,0.21,26.6,13.8,0.528
25,Sacramento Kings,,-0.81,111.5,-1.12,110.4,24.8,0.5329999999999999,0.31,0.177,23.1,13.4,0.524
26,San Antonio Spurs*,,1.8,111.2,1.68,112.9,28.8,0.528,0.12,0.19399999999999998,21.0,12.1,0.534
27,Toronto Raptors*,,5.49,107.1,6.09,113.1,27.3,0.509,-0.6,0.198,21.9,14.0,0.5429999999999999
28,Utah Jazz*,,5.28,105.7,5.26,110.9,27.3,0.507,0.03,0.217,22.9,15.1,0.5379999999999999
29,Washington Wizards,,-3.3,113.9,-2.9,111.1,26.5,0.546,-0.4,0.204,21.3,14.1,0.531
