,MP,FGA,FG%,3P%,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Age,MOV,SOS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Team,Result,G,WIN_PCT
72,0.22222222222222104,0.28873239436619774,0.27692307692307633,0.25294117647058817,0.30434782608695676,0.14285714285714285,0.5106382978723404,0.0,0.7358490566037738,0.5483870967741937,0.6447368421052628,0.24096385542168672,0.47499999999999976,0.6521739130434782,0.21794871794871828,0.042553191489362284,0.0,0.3671008200675349,0.8804347826086958,0.09722222222222168,0.3139534883720936,0.5288461538461535,0.5833333333333333,0.36363636363636365,0.15942028985507245,0.2533333333333335,1.0,0.6279069767441858,0.2588235294117646,0.3636363636363631,0.5499999999999998,0.49382716049382797,0.0782608695652172,Cleveland Cavaliers,NP,82,0.3780487804878049
242,0.6176470588235267,1.0,0.370967741935483,0.5,0.39705882352941174,0.9830508474576268,1.0,0.41237113402061853,0.826086956521739,0.7272727272727276,0.8571428571428569,0.4320987654320987,0.5714285714285715,0.5641025641025641,0.4318181818181819,0.6797385620915032,0.6666666666666666,0.8221823080377189,0.38842975206611574,0.6376811594202898,0.36666666666666664,0.7951807228915658,0.7549019607843136,0.580952380952381,0.43661971830985913,0.31818181818181845,0.15384615384615374,0.5764705882352946,0.7530864197530868,0.5866666666666663,0.6444444444444448,0.8854166666666672,0.3209876543209875,Portland Trail Blazers,FR,82,0.6219512195121951
195,0.2903225806451545,0.5353535353535348,0.7681159420289861,0.3421052631578946,0.6753246753246751,0.2957746478873237,0.08695652173913013,1.0,0.12280701754385985,1.0,0.6086956521739125,0.621359223300971,0.32499999999999996,0.5526315789473686,0.2465753424657535,0.4265402843601894,0.8275862068965517,0.6275259421081377,0.42477876106194695,0.6824324324324322,0.34939759036144596,0.3559322033898304,0.1181818181818183,0.01111111111111112,0.680000000000001,0.6712328767123286,0.2812499999999996,0.3207547169811319,0.2755102040816325,0.021739130434782608,0.10526315789473692,0.7272727272727282,0.4380952380952383,Boston Celtics,SF,82,0.6219512195121951
235,0.0,0.4848484848484857,0.5967741935483871,0.5636363636363632,0.6764705882352942,0.23728813559322062,0.26923076923076894,0.38144329896907214,0.34782608695652195,0.0,0.0357142857142862,0.604938271604938,0.7959183673469388,0.46153846153846145,0.5454545454545455,0.2745098039215686,0.4117647058823527,0.5150426582846879,0.933884297520661,0.4855072463768119,0.6933333333333328,0.4337349397590356,0.3039215686274506,0.7714285714285715,0.5633802816901409,0.6060606060606057,0.7179487179487181,0.31764705882352945,0.30864197530864207,0.7733333333333332,0.8444444444444446,0.0,0.5,Milwaukee Bucks,NP,82,0.34146341463414637
182,0.5217391304347783,0.3169014084507043,0.12500000000000008,0.48633879781420786,0.0,0.08333333333333326,0.12631578947368408,0.2704918032786879,0.620253164556962,0.0,0.18999999999999986,0.22413793103448285,0.5599999999999998,0.4722222222222223,0.47126436781609177,0.12499999999999961,0.33333333333333315,0.34882558720639684,0.65,0.3730158730158734,0.6666666666666671,0.01834862385321062,0.25203252032520357,0.13402061855670108,0.014705882352941176,0.015151515151515164,0.0,0.839080459770115,0.14563106796116493,0.639344262295082,0.44680851063829824,0.26086956521739274,0.5538461538461538,Minnesota Timberwolves,NP,82,0.35365853658536583
672,0.8750000000000059,0.41911764705882393,0.06153846153846159,0.2631578947368425,0.17441860465116313,0.43037974683544317,0.5047619047619049,0.19444444444444445,0.8222222222222221,0.3043478260869561,0.6999999999999998,0.0,0.2432432432432434,0.0,0.5283018867924529,0.2806122448979593,0.21917808219178062,0.11303890641430071,0.6047904191616766,0.3157894736842108,0.9352517985611517,0.34677419354838673,0.5675675675675677,0.43085106382978716,0.11111111111111126,0.11627906976744129,0.588235294117647,0.6701030927835052,0.46236559139784944,0.9104477611940298,0.1142857142857144,0.3529411764705892,0.409090909090909,New York Knicks,NP,82,0.2804878048780488
42,0.4285714285714189,0.2651515151515151,0.6097560975609756,0.5227272727272727,0.573170731707317,0.5784313725490196,0.6513761467889905,0.5981308411214955,0.29166666666666635,0.6923076923076923,0.5340909090909087,0.6767676767676768,0.6136363636363634,0.4038461538461539,0.6533333333333337,0.7094972067039106,0.9090909090909094,0.5616065350578625,0.3580246913580247,0.6379310344827595,0.583333333333333,0.5795454545454557,0.6153846153846156,0.17499999999999993,0.6417910447761188,0.5802469135802469,0.794871794871795,0.5757575757575761,0.549618320610687,0.46575342465753383,0.5454545454545455,0.7222222222222223,0.50354609929078,San Antonio Spurs,FR,82,0.5
644,0.4864864864864873,0.32478632478632447,0.35714285714285715,0.22857142857142876,0.17142857142857076,0.49180327868852447,0.46835443037974683,0.6525423728813565,0.5405405405405407,0.20408163265306115,0.1666666666666674,0.25675675675675663,0.36666666666666686,0.6774193548387096,0.17241379310344826,0.0727272727272729,0.3913043478260869,0.15684830633284244,0.22314049586776863,0.0636363636363626,0.5748031496063,0.28571428571428603,0.5238095238095236,0.0,0.14285714285714307,0.11249999999999938,0.6046511627906975,0.5263157894736842,0.5750000000000003,0.5555555555555551,0.5312499999999999,0.30337078651685406,0.17699115044247782,Philadelphia 76ers,NP,82,0.4268292682926829
638,0.40540540540540354,0.6495726495726502,0.48214285714285815,0.3857142857142868,0.47142857142857103,0.01639344262295105,0.13924050632911367,0.3644067796610173,0.6756756756756758,0.0,0.06250000000000083,0.4189189189189192,0.36666666666666686,0.0,0.48275862068965525,0.36363636363636365,0.3623188405797102,0.056701030927835086,0.36363636363636365,0.3727272727272722,0.9527559055118114,0.42016806722689054,0.15079365079365098,0.5617283950617283,0.3000000000000005,0.4124999999999996,0.4883720930232556,0.5684210526315792,0.0,0.8888888888888888,0.4687500000000001,0.0,0.2920353982300883,Milwaukee Bucks,NP,82,0.34146341463414637
925,0.22222222222222104,0.6129032258064521,0.15000000000000013,0.17187499999999928,0.39285714285714285,0.8461538461538461,0.7625000000000002,0.7522935779816511,0.20930232558139547,1.0,0.6624999999999996,0.24369747899159655,0.20000000000000018,0.32258064516129037,0.5365853658536585,0.43888888888888844,0.3333333333333333,0.008103727714748755,0.4824561403508772,0.07258064516128969,0.7578947368421055,1.0,0.75531914893617,0.5727699530516431,0.3947368421052637,0.2631578947368419,0.9523809523809521,0.15306122448979595,0.9342105263157894,0.48214285714285715,0.1999999999999998,0.2816901408450701,0.48,Brooklyn Nets,NP,82,0.24390243902439024
