,Team,Result,SRS,DRtg,MOV,ORtg,Age,DeFG%,SOS,OFT/FGA,ORB%,TOV,OeFG%
490,Miami Heat,NP,-1.84,100.2,-1.54,98.5,30.1,0.455,-0.31,0.19399999999999998,26.6,14.8,0.46299999999999997
977,Portland Trail Blazers,FR,2.6,106.4,2.6,109.1,25.6,0.503,0.0,0.192,23.3,13.5,0.511
66,Seattle SuperSonics,NP,-0.47,106.0,-0.1,105.9,26.6,0.49200000000000005,-0.37,0.257,33.2,17.5,0.478
719,Denver Nuggets,FR,4.15,107.5,4.09,111.8,27.7,0.495,0.06,0.29,26.1,13.9,0.509
210,New Jersey Nets,FR,-1.54,108.7,-1.7,107.0,25.6,0.488,0.15,0.19399999999999998,39.1,17.0,0.473
4,Dallas Mavericks,SF,0.15,109.6,0.43,110.0,24.7,0.503,-0.27,0.245,31.7,15.9,0.503
734,Orlando Magic,CF,7.12,103.3,7.49,111.4,27.9,0.47700000000000004,-0.37,0.24600000000000002,24.6,14.1,0.536
855,Philadelphia 76ers,NP,-10.66,109.9,-10.45,99.4,23.4,0.524,-0.21,0.19,24.8,16.9,0.475
827,Portland Trail Blazers,NP,-2.53,109.2,-3.17,105.8,24.4,0.512,0.65,0.19399999999999998,25.3,14.7,0.498
772,Washington Wizards,NP,-7.3,110.2,-7.4,102.4,24.9,0.512,0.11,0.21600000000000003,28.0,15.3,0.47100000000000003
562,Washington Wizards,NP,-6.12,104.8,-5.63,98.8,24.4,0.486,-0.48,0.24100000000000002,30.7,17.5,0.45399999999999996
468,Portland Trail Blazers,FR,4.52,101.8,4.2,106.5,30.1,0.47,0.33,0.225,30.0,15.3,0.49700000000000005
587,Sacramento Kings,FR,2.56,108.2,2.16,110.5,27.7,0.493,0.4,0.226,28.8,13.1,0.496
665,Los Angeles Lakers,LF,7.34,105.5,7.26,113.0,26.7,0.485,0.09,0.256,26.3,14.1,0.525
838,Cleveland Cavaliers,NP,-3.86,107.7,-3.29,104.2,24.9,0.508,-0.57,0.201,27.2,14.2,0.479
46,Atlanta Hawks,SF,2.59,105.6,2.37,107.9,25.3,0.48100000000000004,0.22,0.282,34.9,18.1,0.493
549,Minnesota Timberwolves,CF,5.86,99.7,5.49,105.9,29.7,0.444,0.37,0.207,26.7,12.7,0.486
897,Chicago Bulls,NP,-1.46,106.5,-1.48,105.0,27.6,0.485,0.01,0.18899999999999997,24.5,13.9,0.48700000000000004
112,Seattle SuperSonics,FR,1.29,108.1,2.06,110.2,25.6,0.495,-0.77,0.245,36.3,16.8,0.491
322,Phoenix Suns,FR,0.28,110.0,0.33,110.3,27.9,0.511,-0.05,0.28600000000000003,29.8,14.7,0.498
820,Minnesota Timberwolves,NP,-1.83,105.4,-2.37,102.9,26.4,0.511,0.54,0.226,27.4,14.8,0.473
724,Los Angeles Clippers,NP,-6.01,110.1,-6.35,103.3,27.3,0.509,0.34,0.20600000000000002,27.1,15.7,0.491
3,Cleveland Cavaliers,NP,-3.71,108.5,-4.26,104.1,25.4,0.49,0.55,0.22399999999999998,33.5,16.2,0.46799999999999997
627,Cleveland Cavaliers,LF,3.33,101.3,3.83,105.5,26.9,0.48,-0.5,0.223,29.7,14.4,0.484
607,Miami Heat,WF,3.59,104.5,3.87,108.7,29.2,0.47700000000000004,-0.27,0.254,26.7,14.5,0.517
612,New York Knicks,NP,-6.3,111.0,-6.4,104.0,25.6,0.511,0.11,0.303,31.2,17.7,0.48100000000000004
924,Boston Celtics,CF,2.25,108.4,2.63,111.2,25.9,0.503,-0.39,0.22,21.2,13.3,0.525
492,Minnesota Timberwolves,FR,3.58,105.3,3.38,109.0,26.7,0.48200000000000004,0.2,0.203,31.3,13.4,0.49
